project_name,community,year,GF,RF,GT,GF_plus_RF_minus_GT,abs_diff,old_rule_pass,income_field_missing,formula
 Project Registration Request beta verification,Dubai Production City,2026,17.92,0.95,18.66,0.21000000000000085,0.21000000000000085,False,True,GT = GF + RF - income (income not in CSV)
17 ICON BAY,Dubai Creek Harbour,2026,18.22,1.49,19.65,0.05999999999999872,0.05999999999999872,False,True,GT = GF + RF - income (income not in CSV)
ACACIA AT PARK HEIGHTS,Dubai Hills Estate,2026,16.98,1.91,18.47,0.4200000000000017,0.4200000000000017,False,True,GT = GF + RF - income (income not in CSV)
ACACIA AVENUES,Al Sufouh,2025,11.81,0.41,12.22,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ADDRESS HARBOUR POINT,Dubai Creek Harbour,2026,28.45,1.74,30.19,-3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
AJMAL SARAH,Dubai Land,2026,11.75,0.7,12.45,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AL JAWZAA,International City,2018,9.7,0.0,9.7,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AL KHAIL HEIGHTS,Al Qouz,2026,11.32,0.45,9.71,2.0599999999999987,2.0599999999999987,False,True,GT = GF + RF - income (income not in CSV)
AL MANARA,Business Bay,2026,14.97,1.14,16.11,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AL SEEF II,Jumeirah Lakes Towers,2018,13.25,0.0,13.25,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ALANDALUS,Jumeirah Golf Estates,2026,13.4,2.18,15.47,0.10999999999999943,0.10999999999999943,False,True,GT = GF + RF - income (income not in CSV)
ALSHERA TOWER,Jumeirah Lakes Towers,2018,14.68,0.0,14.68,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AMAZONIA @ AKOYA OXYGEN,Dubai Land,2026,4.67,0.31,4.89,0.08999999999999986,0.08999999999999986,False,True,GT = GF + RF - income (income not in CSV)
ARABIAN GATE,Silicon Oasis,2026,10.98,1.16,11.43,0.7100000000000009,0.7100000000000009,False,True,GT = GF + RF - income (income not in CSV)
ARABIAN RANCHES,Arabian Ranches - 1,2024,4.3,0.16,4.13,0.33000000000000007,0.33000000000000007,False,True,GT = GF + RF - income (income not in CSV)
ARENA APARTMENTS,Dubai Sports City,2026,10.34,0.96,11.11,0.19000000000000128,0.19000000000000128,False,True,GT = GF + RF - income (income not in CSV)
AVENUE RESIDENCE1,Al Furjan,2026,17.19,0.95,18.14,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AXIS  RESIDENCES 1,Silicon Oasis,2026,18.15,0.4,18.05,0.49999999999999645,0.49999999999999645,False,True,GT = GF + RF - income (income not in CSV)
AXIS RESIDENCES 2,Silicon Oasis,2026,10.96,1.6,12.33,0.23000000000000043,0.23000000000000043,False,True,GT = GF + RF - income (income not in CSV)
AXIS RESIDENCES 3,Silicon Oasis,2026,11.87,1.57,13.44,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AXIS RESIDENCES 4,Silicon Oasis,2026,12.11,2.0,13.77,0.33999999999999986,0.33999999999999986,False,True,GT = GF + RF - income (income not in CSV)
AXIS RESIDENCES 5,Silicon Oasis,2026,13.36,1.7,15.06,-1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
AXIS RESIDENCES 6,Silicon Oasis,2026,12.58,1.36,13.82,0.11999999999999922,0.11999999999999922,False,True,GT = GF + RF - income (income not in CSV)
AXIS RESIDENCES 8,Silicon Oasis,2026,12.57,1.5,14.07,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AXIS SILVER,Silicon Oasis,2026,11.73,1.5,13.23,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AZIZI. FEIROUZ,Al Furjan,2026,11.37,0.74,12.11,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
AZIZI. YASAMINE,Al Furjan,2026,10.53,1.46,11.99,-1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
Ahad Residences,Business Bay,2026,18.15,2.11,20.26,-3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
Al Fouad,Al Furjan,2026,12.06,0.61,12.67,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Al Haseen Residence,Dubai Industrial City,2026,12.98,0.3,13.28,1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
