property_id,project,area,size_sqft,rental_tier,annual_rent_aed,gross_yield_pct,service_charge_matched,sc_rate_aed_sqft,sc_year,sc_project,vacancy_available,management_available,maintenance_available,eligibility_level
2161,Hotel Edge by Rotana,Damac Hills 2,481.0,R4,36288.0,5.47,False,,,,False,False,False,GROSS_ONLY
6982,Binghatti Rose,Jumeirah village circle,659.0,R2,63360.0,7.54,False,,,,False,False,False,GROSS_ONLY
3201,Binghatti Nova,Jumeirah village circle,989.0,R2,72000.0,5.22,False,,,,False,False,False,GROSS_ONLY
6250,Binghatti Luna,Jumeirah village circle,1178.0,R2,86400.0,6.65,False,,,,False,False,False,GROSS_ONLY
2666,Binghatti Lavender,Jumeirah village circle,1020.0,R2,96000.0,6.53,False,,,,False,False,False,GROSS_ONLY
1181,Laya Mansion,Jumeirah village circle,1413.0,R4,88320.0,5.52,False,,,,False,False,False,GROSS_ONLY
1829,Vita Grande,Jumeirah village circle,774.0,R4,63360.0,6.95,False,,,,False,False,False,GROSS_ONLY
5128,Marina Star,Dubai Marina,1111.0,R2,105600.0,3.77,False,,,,False,False,False,GROSS_ONLY
844,Concept 7 Residences,Jumeirah village circle,1016.0,R2,81600.0,7.42,False,,,,False,False,False,GROSS_ONLY
4699,creek edge,Dubai Creek Harbour,1044.0,R2,139200.0,9.28,False,,,,False,False,False,GROSS_ONLY
7112,Q Gardens Loft,Jumeirah village circle,848.0,R4,65280.0,12.98,False,,,,False,False,False,GROSS_ONLY
4914,Franck Muller Yachting,Dubai Maritime City,792.0,NONE,,,False,,,,False,False,False,NONE
2046,Franck Muller Yachting,Dubai Maritime City,409.0,NONE,,,False,,,,False,False,False,NONE
3765,Q Gardens Loft,Jumeirah village circle,1304.0,R4,84480.0,4.45,False,,,,False,False,False,GROSS_ONLY
7881,Dubai Creek Residence Tower 2 North,Dubai Creek Harbour,1020.0,R4,120000.0,8.57,False,,,,False,False,False,GROSS_ONLY
409,Harbour Views 1,Dubai Creek Harbour,1526.0,R4,163200.0,6.04,False,,,,False,False,False,GROSS_ONLY
1330,Oxford Gardens,Arjan,413.0,R2,57600.0,10.29,False,,,,False,False,False,GROSS_ONLY
2899,Q Gardens Loft,Jumeirah village circle,1827.0,R4,105600.0,5.1,False,,,,False,False,False,GROSS_ONLY
5356,Terraces Marasi Drive,Business Bay,,NONE,,,False,,,,False,False,False,NONE
2155,Divine Living,Arjan,1236.0,R2,105600.0,8.8,False,,,,False,False,False,GROSS_ONLY
6836,Serenity Lakes 5,Jumeirah village circle,692.0,R4,62400.0,6.86,False,,,,False,False,False,GROSS_ONLY
4753,Mayas Geneva,Jumeirah village circle,1055.0,R2,78720.0,8.19,False,,,,False,False,False,GROSS_ONLY
2459,UPSIDE Living,Business Bay,399.0,R2,86400.0,6.7,False,,,,False,False,False,GROSS_ONLY
2578,La Residenza,Jumeirah village circle,642.0,R4,57600.0,6.4,False,,,,False,False,False,GROSS_ONLY
1467,Marriott Residences,Business Bay,1167.0,R4,105600.0,3.5,False,,,,False,False,False,GROSS_ONLY
6720,Beverly Boulevard,Arjan,403.0,R2,48000.0,8.94,False,,,,False,False,False,GROSS_ONLY
2473,MBL Royal,Jumeirah Lake Towers,848.0,R2,113280.0,7.55,False,,,,False,False,False,GROSS_ONLY
8393,Canal Front Residences,Dubai Water Canal,1326.0,R4,172800.0,4.43,False,,,,False,False,False,GROSS_ONLY
6298,Binghatti Emerald,Jumeirah village circle,623.0,R2,65280.0,8.72,False,,,,False,False,False,GROSS_ONLY
2766,Binghatti Emerald,Jumeirah village circle,1024.0,R2,100800.0,9.16,False,,,,False,False,False,GROSS_ONLY
6632,Oakley Square Residences,Jumeirah village circle,1189.0,R2,138240.0,7.47,False,,,,False,False,False,GROSS_ONLY
507,The Paragon by IGO,Business Bay,596.0,R2,86400.0,7.2,False,,,,False,False,False,GROSS_ONLY
673,The Community Motor City,Dubai Motor City,441.0,R3,40320.0,7.62,False,,,,False,False,False,GROSS_ONLY
1597,The Community Motor City,Dubai Motor City,673.0,R4,49920.0,6.26,False,,,,False,False,False,GROSS_ONLY
6649,Park Lane by Heilbronn,Jumeirah village circle,947.0,R2,91200.0,7.08,False,,,,False,False,False,GROSS_ONLY
4694,Creek Gate Tower 2,Dubai Creek Harbour,1114.0,R4,124800.0,4.89,False,,,,False,False,False,GROSS_ONLY
8320,Eleganz,Jumeirah village circle,1274.0,R4,81600.0,3.71,False,,,,False,False,False,GROSS_ONLY
5092,4Direction Residence 1,Dubai Land Residence Complex,517.0,R3,34560.0,5.63,False,,,,False,False,False,GROSS_ONLY
7608,Vera Residences,Business Bay,474.0,R4,62400.0,5.83,False,,,,False,False,False,GROSS_ONLY
3407,Emerge Residences,Meydan City,684.0,R4,72000.0,4.53,False,,,,False,False,False,GROSS_ONLY
3375,Mayas Geneva,Jumeirah village circle,1712.0,R2,139200.0,7.33,False,,,,False,False,False,GROSS_ONLY
6350,Q Gardens Boutique Residences,Arjan,1629.0,R2,134400.0,8.96,False,,,,False,False,False,GROSS_ONLY
2276,Park Lane by Heilbronn,Jumeirah village circle,1163.0,R2,110400.0,5.02,False,,,,False,False,False,GROSS_ONLY
6209,Concept 7 Residences,Jumeirah village circle,619.0,R2,72000.0,7.2,False,,,,False,False,False,GROSS_ONLY
5073,Luma22,Jumeirah village circle,577.0,R2,55680.0,7.95,False,,,,False,False,False,GROSS_ONLY
6695,Binghatti Amber,Jumeirah village circle,455.0,R2,52800.0,7.33,False,,,,False,False,False,GROSS_ONLY
2460,Creek Gate Tower 2,Dubai Creek Harbour,721.0,R4,86400.0,5.08,False,,,,False,False,False,GROSS_ONLY
7792,Luma21,Jumeirah village circle,422.0,R2,49920.0,7.56,False,,,,False,False,False,GROSS_ONLY
7663,48 Parkside,Arjan,1443.0,R4,86592.0,4.5,False,,,,False,False,False,GROSS_ONLY
2725,saba 2,Jumeirah Lake Towers,950.0,R4,84480.0,93.87,False,,,,False,False,False,GROSS_ONLY
6540,The Autograph Residences,Jumeirah village circle,1401.0,R4,86590.0,4.56,False,,,,False,False,False,GROSS_ONLY
93,Marina Star,Dubai Marina,2463.0,R4,187200.0,23.2,False,,,,False,False,False,GROSS_ONLY
6277,Binghatti Emerald,Jumeirah village circle,1378.0,R2,100800.0,7.75,False,,,,False,False,False,GROSS_ONLY
6430,Beverly Boulevard,Arjan,1299.0,R4,82555.0,6.35,False,,,,False,False,False,GROSS_ONLY
1620,SLS Dubai Hotels and Residences,Downtown Dubai,1864.0,R4,227520.0,3.05,False,,,,False,False,False,GROSS_ONLY
422,Golf Edge,Emaar South,1641.0,R4,91200.0,3.65,False,,,,False,False,False,GROSS_ONLY
2838,Binghatti Rose,Jumeirah village circle,1285.0,R2,105600.0,6.81,False,,,,False,False,False,GROSS_ONLY
3843,Beverly Boulevard,Arjan,800.0,R2,81600.0,9.42,False,,,,False,False,False,GROSS_ONLY
453,Aykon City Tower,Business Bay,1301.0,R4,115200.0,4.43,False,,,,False,False,False,GROSS_ONLY
8066,The 100,Meydan City,4292.0,R4,240000.0,1.65,False,,,,False,False,False,GROSS_ONLY
6835,LIV Residence,Dubai Marina,1764.0,R2,177600.0,3.23,False,,,,False,False,False,GROSS_ONLY
8201,Marquise Square,Business Bay,2326.0,R4,163200.0,3.8,False,,,,False,False,False,GROSS_ONLY
1913,Creek Beach Orchid,Dubai Creek Harbour,1514.0,R2,163200.0,6.53,False,,,,False,False,False,GROSS_ONLY
601,Aura Residences,Jumeirah village circle,1107.0,R4,72000.0,3.69,False,,,,False,False,False,GROSS_ONLY
1111,Oxford Gardens,Arjan,824.0,R2,92160.0,10.93,False,,,,False,False,False,GROSS_ONLY
5113,SLS Dubai Hotels and Residences,Downtown Dubai,1163.0,R4,165600.0,4.78,False,,,,False,False,False,GROSS_ONLY
1637,Oxford Gardens,Arjan,413.0,R2,57600.0,4.11,False,,,,False,False,False,GROSS_ONLY
6594,Creek Beach Orchid,Dubai Creek Harbour,679.0,R2,88320.0,5.2,False,,,,False,False,False,GROSS_ONLY
7916,Divine Living,Arjan,2037.0,R4,115200.0,6.78,False,,,,False,False,False,GROSS_ONLY
7020,Canal Front Residences,Dubai Water Canal,1762.0,R4,216000.0,4.15,False,,,,False,False,False,GROSS_ONLY
897,creek edge,Dubai Creek Harbour,1591.0,R2,211680.0,7.56,False,,,,False,False,False,GROSS_ONLY
2398,Binghatti Gardenia,Jumeirah village circle,1109.0,R2,105600.0,6.03,False,,,,False,False,False,GROSS_ONLY
2730,Luma21,Jumeirah village circle,1144.0,R2,112320.0,9.36,False,,,,False,False,False,GROSS_ONLY
7464,Plaza Residences 1,Jumeirah village circle,1209.0,R4,78720.0,7.72,False,,,,False,False,False,GROSS_ONLY
4547,Gardenia Residency,Jumeirah village circle,1379.0,R4,86400.0,8.23,False,,,,False,False,False,GROSS_ONLY
5009,Divine Living,Arjan,739.0,R2,76800.0,9.65,False,,,,False,False,False,GROSS_ONLY
1146,SLS Dubai Hotels and Residences,Downtown Dubai,1084.0,R4,154028.0,3.89,False,,,,False,False,False,GROSS_ONLY
7278,Canal Front Residences,Dubai Water Canal,913.0,R4,120000.0,5.45,False,,,,False,False,False,GROSS_ONLY
365,Beverly Residence 2,Jumeirah village circle,460.0,R3,43200.0,7.09,False,,,,False,False,False,GROSS_ONLY
3508,The Community Motor City,Dubai Motor City,1446.0,R4,76800.0,4.52,False,,,,False,False,False,GROSS_ONLY
8369,Aura Residences,Jumeirah village circle,701.0,R4,62400.0,5.67,False,,,,False,False,False,GROSS_ONLY
7656,Concept 7 Residences,Jumeirah village circle,392.0,R3,43200.0,7.19,False,,,,False,False,False,GROSS_ONLY
2061,The Community Motor City,Dubai Motor City,1077.0,R4,60480.0,5.04,False,,,,False,False,False,GROSS_ONLY
140,Yas Beach Residence,Yas Island,1958.0,NONE,,,False,,,,False,False,False,NONE
4674,MBL Royal,Jumeirah Lake Towers,2308.0,R2,242880.0,6.07,False,,,,False,False,False,GROSS_ONLY
5773,4Direction Residence 1,Dubai Land Residence Complex,832.0,R4,48960.0,5.31,False,,,,False,False,False,GROSS_ONLY
5574,Serenity Lakes 2,Jumeirah village circle,850.0,R4,65280.0,7.5,False,,,,False,False,False,GROSS_ONLY
4744,Ahad Residences,Business Bay,2308.0,R4,163200.0,3.47,True,20.26,2026.0,Ahad Residences,False,False,False,SERVICE_CHARGE_ADJUSTED
3495,Mayas Geneva,Jumeirah village circle,527.0,R2,59520.0,9.03,False,,,,False,False,False,GROSS_ONLY
6446,Yas Beach Residence,Yas Island,2698.0,NONE,,,False,,,,False,False,False,NONE
3666,Sunrise Bay,EMAAR Beachfront,733.0,R2,121920.0,4.98,False,,,,False,False,False,GROSS_ONLY
7682,Stax,Jumeirah village circle,1086.0,R4,72000.0,4.87,False,,,,False,False,False,GROSS_ONLY
8222,Flow Residences,Dubai Islands,844.0,NONE,,,False,,,,False,False,False,NONE
253,The Paragon by IGO,Business Bay,1222.0,R2,144000.0,6.55,False,,,,False,False,False,GROSS_ONLY
2326,Binghatti Royale,Jumeirah village circle,1618.0,R4,98400.0,4.28,False,,,,False,False,False,GROSS_ONLY
3834,MBL Royal,Jumeirah Lake Towers,1460.0,R2,182400.0,7.3,False,,,,False,False,False,GROSS_ONLY
5945,The Paragon by IGO,Business Bay,416.0,R2,72000.0,8.32,False,,,,False,False,False,GROSS_ONLY
5987,Yas Beach Residence,Yas Island,2724.0,NONE,,,False,,,,False,False,False,NONE
2832,Westwood Grande Residences,Jumeirah village circle,806.0,R4,64060.0,5.34,False,,,,False,False,False,GROSS_ONLY
3097,Catch Residence by IGO,Jumeirah village circle,1545.0,R4,96000.0,5.19,False,,,,False,False,False,GROSS_ONLY
6923,Luma22,Jumeirah village circle,1258.0,R2,98880.0,5.21,False,,,,False,False,False,GROSS_ONLY
1516,Azizi Amber,Al Furjan,378.0,R2,46080.0,7.55,False,,,,False,False,False,GROSS_ONLY
1234,Yas Beach Residence,Yas Island,2173.0,NONE,,,False,,,,False,False,False,NONE
3955,Stax,Jumeirah village circle,393.0,R3,43200.0,6.02,False,,,,False,False,False,GROSS_ONLY
3962,Q Gardens Boutique Residences,Arjan,850.0,R2,78720.0,7.18,False,,,,False,False,False,GROSS_ONLY
793,Westwood Grande Residences,Jumeirah village circle,412.0,R3,43200.0,6.17,False,,,,False,False,False,GROSS_ONLY
8311,The Cape,Al Barari,1380.0,R4,76800.0,2.26,False,,,,False,False,False,GROSS_ONLY
6163,Wellington Grand Villas,Meydan City,13007.0,NONE,,,False,,,,False,False,False,NONE
7640,Binghatti Luna,Jumeirah village circle,600.0,R2,65280.0,7.9,False,,,,False,False,False,GROSS_ONLY
2989,Samana Sky Views,Dubai Production City,,NONE,,,False,,,,False,False,False,NONE
1279,Marina Star,Dubai Marina,841.0,R2,105600.0,4.64,False,,,,False,False,False,GROSS_ONLY
6556,SOL Bay,Business Bay,972.0,R2,86400.0,4.75,False,,,,False,False,False,GROSS_ONLY
983,SOL Bay,Business Bay,491.0,R1,68160.0,6.2,False,,,,False,False,False,GROSS_ONLY
4545,The Cove,Dubai Creek Harbour,4620.0,NONE,,,False,,,,False,False,False,NONE
6141,Q Gardens Loft,Jumeirah village circle,385.0,R3,43200.0,8.82,False,,,,False,False,False,GROSS_ONLY
7286,Binghatti Canal,Business Bay,491.0,R2,73440.0,5.65,False,,,,False,False,False,GROSS_ONLY
101,Golf Edge,Emaar South,1181.0,R4,76800.0,4.44,False,,,,False,False,False,GROSS_ONLY
