property_id,project,area,qdrant_category,project_match_status,service_charge_status,production_eligible,failure_reason,mollak_project,mollak_community,location_parity,sc_rate_aed_sqft,sc_year,gf_rate,rf_rate,gt_rate,component_match,unit_size_sqft,annual_service_charge_aed,annual_rent_estimate_aed,income_after_service_charges_aed,master_current_price_aed,gross_rental_yield_pct,yield_after_service_charges_pct
2161,Hotel Edge by Rotana,Damac Hills 2,شقة فندقية,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,481.0,,,,663600,,
6982,Binghatti Rose,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,659.0,,,,840000,,
3201,Binghatti Nova,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,989.0,,,,1380000,,
6250,Binghatti Luna,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1178.0,,,,1300000,,
2666,Binghatti Lavender,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1020.0,,,,1470000,,
1181,Laya Mansion,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1413.0,,,,1600000,,
1829,Vita Grande,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,774.0,,,,912000,,
5128,Marina Star,Dubai Marina,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1111.0,,,,2800000,,
844,Concept 7 Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1016.0,,,,1100000,,
4699,creek edge,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1044.0,,,,1500000,,
7112,Q Gardens Loft,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,848.0,,,,503000,,
4914,Franck Muller Yachting,Dubai Maritime City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,792.0,,,,1710888,,
2046,Franck Muller Yachting,Dubai Maritime City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,409.0,,,,1120888,,
3765,Q Gardens Loft,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1304.0,,,,1900000,,
7881,Dubai Creek Residence Tower 2 North,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1020.0,,,,1399990,,
