property_id,master_project,master_area,master_developer,resolved_property_type,project_match_status,service_charge_status,mollak_project,mollak_community,mollak_year,mollak_usage,rate_aed_sqft,location_parity,developer_support,qdrant_support,phase_support,area_basis_verified,production_eligible,failure_reason,match_method,gf_rate,rf_rate,gt_rate,component_match,budget_start,budget_end,name_similarity,token_overlap,review_confidence,review_classification
4165,Ahad Residences,Business Bay,AHAD Group,Apartment,VERIFIED_EXACT,VERIFIED_CALCULABLE,,,,Residential,,True,True,True,False,True,True,,FROZEN_V1,,,,,,,,,,
4744,Ahad Residences,Business Bay,AHAD Group,Apartment,VERIFIED_EXACT,VERIFIED_CALCULABLE,,,,Residential,,True,True,True,False,True,True,,FROZEN_V1,,,,,,,,,,
6435,Pantheon Elysee,Jumeirah village circle,Pantheon Development,Apartment,VERIFIED_EXACT,VERIFIED_CALCULABLE,,,,Residential,,True,True,True,False,True,True,,FROZEN_V1,,,,,,,,,,
7266,Ahad Residences,Business Bay,AHAD Group,Apartment,VERIFIED_EXACT,VERIFIED_CALCULABLE,,,,Residential,,True,True,True,False,True,True,,FROZEN_V1,,,,,,,,,,
1074,Ahad Residences,Business Bay,AHAD Group,Apartment,VERIFIED_EXACT,VERIFIED_CALCULABLE,,,,Residential,,True,True,True,False,True,True,,FROZEN_V1,,,,,,,,,,
7842,Azizi Feirouz,Al Furjan,Azizi,Apartment,VERIFIED_NORMALIZED_EXACT,VERIFIED_CALCULABLE,,,,Residential,,True,True,True,False,True,True,,FROZEN_V1,,,,,,,,,,
409,Harbour Views 1,Dubai Creek Harbour,Emaar,Apartment,VERIFIED_ALIAS,HELD_COMPONENT_MISMATCH,HARBOUR VIEWS,Dubai Creek Harbour,2026.0,Residential,,True,True,True,False,True,False,HELD_COMPONENT_MISMATCH: GF+RF=16.89 ≠ GT=16.82,FROZEN_V1,,,,,,,,,,
6217,Golf Links,Emaar South,Emaar,Villa,REJECTED_IDENTITY,NOT_MATCHED,GOLF LINKS,Dubai Sports City,,,,False,False,True,False,False,False,REJECTED_IDENTITY: MASTER Emaar South ≠ Mollak Dubai Sports City,FROZEN_V1,,,,,,,,,,
2161,Hotel Edge by Rotana,Damac Hills 2,Damac,شقة فندقية,NOT_MATCHED,NOT_MATCHED,,,,,,False,False,False,False,False,False,,,,,,,,,0.0,0.0,,
6982,Binghatti Rose,Jumeirah village circle,Binghatti,Apartment,NOT_MATCHED,NOT_MATCHED,,,,,,False,False,False,False,False,False,,,,,,,,,0.0,0.0,,
3201,Binghatti Nova,Jumeirah village circle,Binghatti,Apartment,NOT_MATCHED,NOT_MATCHED,,,,,,False,False,False,False,False,False,,,,,,,,,0.0,0.0,,
6250,Binghatti Luna,Jumeirah village circle,Binghatti,Apartment,NOT_MATCHED,NOT_MATCHED,,,,,,False,False,False,False,False,False,,,,,,,,,0.0,0.0,,
2666,Binghatti Lavender,Jumeirah village circle,Binghatti,Apartment,NOT_MATCHED,NOT_MATCHED,,,,,,False,False,False,False,False,False,,,,,,,,,0.0,0.0,,
1181,Laya Mansion,Jumeirah village circle,Laya Developers,Apartment,NOT_MATCHED,NOT_MATCHED,,,,,,False,False,False,False,False,False,,,,,,,,,0.0,0.0,,
