size_band_pct,lookback_months,valid,total_ready,total_comparables,R1,R2,R3,R4,no_evidence,no_tier_minimum
0.15,12,301,315,400597,0,67,31,203,7,7
0.15,18,301,315,400597,0,67,31,203,7,7
0.15,24,301,315,400597,0,67,31,203,7,7
0.15,36,301,315,400597,0,67,31,203,7,7
0.2,12,301,315,400597,0,67,31,203,7,7
0.2,18,301,315,400597,0,67,31,203,7,7
0.2,24,301,301,400597,0,67,31,203,0,0
0.2,36,301,301,400597,0,67,31,203,0,0
0.25,12,301,301,477748,0,73,34,194,0,0
0.25,18,301,301,477748,0,73,34,194,0,0
0.25,24,301,301,477748,0,73,34,194,0,0
0.25,36,301,301,477748,0,73,34,194,0,0
