property_id,run1_tier,run2_tier,tier_match,run1_rent,run2_rent,rent_match,run1_yield,run2_yield,yield_match
2161,R4,R4,True,36288.0,36288.0,True,5.47,5.47,True
6982,R2,R2,True,63360.0,63360.0,True,7.54,7.54,True
3201,R2,R2,True,72000.0,72000.0,True,5.22,5.22,True
6250,R2,R2,True,86400.0,86400.0,True,6.65,6.65,True
2666,R2,R2,True,96000.0,96000.0,True,6.53,6.53,True
1181,R4,R4,True,88320.0,88320.0,True,5.52,5.52,True
1829,R4,R4,True,63360.0,63360.0,True,6.95,6.95,True
5128,R2,R2,True,105600.0,105600.0,True,3.77,3.77,True
844,R2,R2,True,81600.0,81600.0,True,7.42,7.42,True
4699,R2,R2,True,139200.0,139200.0,True,9.28,9.28,True
7112,R4,R4,True,65280.0,65280.0,True,12.98,12.98,True
3765,R4,R4,True,84480.0,84480.0,True,4.45,4.45,True
7881,R4,R4,True,120000.0,120000.0,True,8.57,8.57,True
409,R4,R4,True,163200.0,163200.0,True,6.04,6.04,True
1330,R2,R2,True,57600.0,57600.0,True,10.29,10.29,True
2899,R4,R4,True,105600.0,105600.0,True,5.1,5.1,True
2155,R2,R2,True,105600.0,105600.0,True,8.8,8.8,True
6836,R4,R4,True,62400.0,62400.0,True,6.86,6.86,True
4753,R2,R2,True,78720.0,78720.0,True,8.19,8.19,True
2459,R2,R2,True,86400.0,86400.0,True,6.7,6.7,True
