property_id,name,resolved_status,master_asking_price,selected_rental_tier,annual_rent_estimate_aed,annual_rent_p25_aed,annual_rent_p75_aed,comparable_count,projects_in_pool,gross_rental_yield_pct,gross_yield_p25_pct,gross_yield_p75_pct,interval_ok,warning
6056,Imperial Avenue,Ready,6300000.0,R2,278400.0,264000.0,297600.0,27,1,4.42,4.19,4.72,True,
6277,Binghatti Emerald,Ready,1300000.0,R2,100800.0,96000.0,105600.0,13,1,7.75,7.38,8.12,True,
8057,Binghatti Royale,Ready,4500000.0,R2,172800.0,163200.0,172800.0,5,1,3.84,3.63,3.84,True,
3201,Binghatti Nova,Ready,1380000.0,R2,72000.0,67200.0,76800.0,13,1,5.22,4.87,5.57,True,
7061,Azizi Mina,Ready,4500000.0,R4,172800.0,148800.0,200376.0,1081,18,3.84,3.31,4.45,True,Based on broader area rental comparables. Individual building rents may differ materially.
8201,Marquise Square,Ready,4300000.0,R4,163200.0,143109.0,192004.0,834,44,3.8,3.33,4.47,True,Based on broader area rental comparables. Individual building rents may differ materially.
3693,Elvira,Offplan,1900000.0,OFFPLAN_RENTAL_NOT_EVALUATED,,,,0,0,,,,,Offplan properties not evaluated for current rent
4434,Lime Gardens,Offplan,2100000.0,OFFPLAN_RENTAL_NOT_EVALUATED,,,,0,0,,,,,Offplan properties not evaluated for current rent
701,Elvira,Offplan,3000000.0,OFFPLAN_RENTAL_NOT_EVALUATED,,,,0,0,,,,,Offplan properties not evaluated for current rent
3983,Sapphire 32,Offplan,2111140.0,OFFPLAN_RENTAL_NOT_EVALUATED,,,,0,0,,,,,Offplan properties not evaluated for current rent
