property_id,status,tier,rent,yield
6749,Offplan,NONE,,
3379,Offplan,NONE,,
2161,Ready,R4,36288.0,5.47
734,Offplan,NONE,,
6982,Ready,R2,63360.0,7.54
200,Offplan,NONE,,
3201,Ready,R2,72000.0,5.22
8175,Offplan,NONE,,
8301,Offplan,NONE,,
2420,Offplan,NONE,,
8171,Offplan,NONE,,
1989,Offplan,NONE,,
2320,Offplan,NONE,,
4030,Offplan,NONE,,
7540,Offplan,NONE,,
6106,Offplan,NONE,,
5819,Offplan,NONE,,
3067,Offplan,NONE,,
6250,Ready,R2,86400.0,6.65
2464,Offplan,NONE,,
1319,Offplan,NONE,,
7253,Offplan,NONE,,
1941,Offplan,NONE,,
1285,Offplan,NONE,,
6095,Offplan,NONE,,
4572,Offplan,NONE,,
2076,Offplan,NONE,,
5463,Offplan,NONE,,
3112,Offplan,NONE,,
1011,Offplan,NONE,,
3481,Offplan,NONE,,
923,Offplan,NONE,,
6800,Offplan,NONE,,
571,Offplan,NONE,,
4986,Offplan,NONE,,
4638,Offplan,NONE,,
446,Offplan,NONE,,
5351,Offplan,NONE,,
6824,Offplan,NONE,,
5019,Offplan,NONE,,
8166,Offplan,NONE,,
4292,Offplan,NONE,,
2797,Offplan,NONE,,
264,Offplan,NONE,,
5833,Offplan,NONE,,
2666,Ready,R2,96000.0,6.53
4892,Offplan,NONE,,
5229,Offplan,NONE,,
4506,Offplan,NONE,,
4571,Offplan,NONE,,
5990,Offplan,NONE,,
136,Offplan,NONE,,
5930,Offplan,NONE,,
4088,Offplan,NONE,,
7479,Offplan,NONE,,
6334,Offplan,NONE,,
5125,Offplan,NONE,,
5640,Offplan,NONE,,
1786,Offplan,NONE,,
1181,Ready,R4,88320.0,5.52
1829,Ready,R4,63360.0,6.95
3761,Offplan,NONE,,
4855,Offplan,NONE,,
1448,Offplan,NONE,,
6508,Offplan,NONE,,
3450,Offplan,NONE,,
504,Offplan,NONE,,
4036,Offplan,NONE,,
892,Offplan,NONE,,
4792,Offplan,NONE,,
240,Offplan,NONE,,
5128,Ready,R2,105600.0,3.77
5063,Offplan,NONE,,
4379,Offplan,NONE,,
4790,Offplan,NONE,,
844,Ready,R2,81600.0,7.42
4813,Offplan,NONE,,
1904,Offplan,NONE,,
5138,Offplan,NONE,,
2719,Offplan,NONE,,
3203,Offplan,NONE,,
7592,Offplan,NONE,,
2570,Offplan,NONE,,
4699,Ready,R2,139200.0,9.28
7112,Ready,R4,65280.0,12.98
6480,Offplan,NONE,,
6541,Offplan,NONE,,
4914,Ready,NONE,,
2046,Ready,NONE,,
7885,Offplan,NONE,,
5082,Offplan,NONE,,
1334,Offplan,NONE,,
6092,Offplan,NONE,,
1980,Offplan,NONE,,
5166,Offplan,NONE,,
66,Offplan,NONE,,
2690,Offplan,NONE,,
5920,Offplan,NONE,,
8390,Offplan,NONE,,
5672,Offplan,NONE,,
4380,Offplan,NONE,,
1213,Offplan,NONE,,
1306,Offplan,NONE,,
4384,Offplan,NONE,,
4941,Offplan,NONE,,
5809,Offplan,NONE,,
5168,Offplan,NONE,,
6299,Offplan,NONE,,
5957,Offplan,NONE,,
6102,Offplan,NONE,,
7502,Offplan,NONE,,
318,Offplan,NONE,,
5102,Offplan,NONE,,
1174,Offplan,NONE,,
3840,Offplan,NONE,,
8415,Offplan,NONE,,
6359,Offplan,NONE,,
4162,Offplan,NONE,,
7762,Offplan,NONE,,
3153,Offplan,NONE,,
8385,Offplan,NONE,,
4821,Offplan,NONE,,
5736,Offplan,NONE,,
163,Offplan,NONE,,
4261,Offplan,NONE,,
3765,Ready,R4,84480.0,4.45
3624,Offplan,NONE,,
396,Offplan,NONE,,
7881,Ready,R4,120000.0,8.57
1823,Offplan,NONE,,
8317,Offplan,NONE,,
6667,Offplan,NONE,,
409,Ready,R4,163200.0,6.04
2452,Offplan,NONE,,
1330,Ready,R2,57600.0,10.29
4723,Offplan,NONE,,
1031,Offplan,NONE,,
4706,Offplan,NONE,,
7985,Offplan,NONE,,
7318,Offplan,NONE,,
6834,Offplan,NONE,,
1003,Offplan,NONE,,
4629,Offplan,NONE,,
7773,Offplan,NONE,,
2899,Ready,R4,105600.0,5.1
2227,Offplan,NONE,,
2210,Offplan,NONE,,
2847,Offplan,NONE,,
3059,Offplan,NONE,,
50,Offplan,NONE,,
5667,Offplan,NONE,,
63,Offplan,NONE,,
6843,Offplan,NONE,,
8118,Offplan,NONE,,
5356,Ready,NONE,,
6394,Offplan,NONE,,
5894,Offplan,NONE,,
2155,Ready,R2,105600.0,8.8
3308,Offplan,NONE,,
607,Offplan,NONE,,
1552,Offplan,NONE,,
4597,Offplan,NONE,,
3252,Offplan,NONE,,
6836,Ready,R4,62400.0,6.86
4692,Offplan,NONE,,
701,Offplan,NONE,,
3700,Offplan,NONE,,
5283,Offplan,NONE,,
4753,Ready,R2,78720.0,8.19
418,Offplan,NONE,,
8004,Offplan,NONE,,
1831,Offplan,NONE,,
2459,Ready,R2,86400.0,6.7
3693,Offplan,NONE,,
1613,Offplan,NONE,,
7630,Offplan,NONE,,
2729,Offplan,NONE,,
1125,Offplan,NONE,,
1963,Offplan,NONE,,
4992,Offplan,NONE,,
1132,Offplan,NONE,,
2325,Offplan,NONE,,
443,Offplan,NONE,,
6956,Offplan,NONE,,
5735,Offplan,NONE,,
2578,Ready,R4,57600.0,6.4
7270,Offplan,NONE,,
2746,Offplan,NONE,,
604,Offplan,NONE,,
4313,Offplan,NONE,,
98,Offplan,NONE,,
1467,Ready,R4,105600.0,3.5
8421,Offplan,NONE,,
6720,Ready,R2,48000.0,8.94
7500,Offplan,NONE,,
7821,Offplan,NONE,,
2473,Ready,R2,113280.0,7.55
4117,Offplan,NONE,,
1454,Offplan,NONE,,
2074,Offplan,NONE,,
2902,Offplan,NONE,,
4434,Offplan,NONE,,
8393,Ready,R4,172800.0,4.43
2641,Offplan,NONE,,
849,Offplan,NONE,,
6171,Offplan,NONE,,
3414,Offplan,NONE,,
4805,Offplan,NONE,,
2863,Offplan,NONE,,
7324,Offplan,NONE,,
2552,Offplan,NONE,,
4499,Offplan,NONE,,
5137,Offplan,NONE,,
6970,Offplan,NONE,,
6027,Offplan,NONE,,
8361,Offplan,NONE,,
4607,Offplan,NONE,,
7076,Offplan,NONE,,
6298,Ready,R2,65280.0,8.72
3118,Offplan,NONE,,
6115,Offplan,NONE,,
4238,Offplan,NONE,,
5310,Offplan,NONE,,
2097,Offplan,NONE,,
2766,Ready,R2,100800.0,9.16
5270,Offplan,NONE,,
3976,Offplan,NONE,,
6516,Offplan,NONE,,
1699,Offplan,NONE,,
7655,Offplan,NONE,,
2735,Offplan,NONE,,
5012,Offplan,NONE,,
6422,Offplan,NONE,,
1170,Offplan,NONE,,
3364,Offplan,NONE,,
4909,Offplan,NONE,,
7787,Offplan,NONE,,
2927,Offplan,NONE,,
2678,Offplan,NONE,,
2358,Offplan,NONE,,
8177,Offplan,NONE,,
4330,Offplan,NONE,,
829,Offplan,NONE,,
2598,Offplan,NONE,,
3134,Offplan,NONE,,
7928,Offplan,NONE,,
350,Offplan,NONE,,
3560,Offplan,NONE,,
8145,Offplan,NONE,,
4883,Offplan,NONE,,
5352,Offplan,NONE,,
6632,Ready,R2,138240.0,7.47
6162,Offplan,NONE,,
4031,Offplan,NONE,,
507,Ready,R2,86400.0,7.2
6011,Offplan,NONE,,
366,Offplan,NONE,,
7069,Unknown,NONE,,
5917,Offplan,NONE,,
3948,Offplan,NONE,,
7890,Offplan,NONE,,
628,Offplan,NONE,,
2513,Offplan,NONE,,
5861,Offplan,NONE,,
5685,Offplan,NONE,,
1766,Offplan,NONE,,
6908,Offplan,NONE,,
7546,Offplan,NONE,,
673,Ready,R3,40320.0,7.62
3777,Offplan,NONE,,
1597,Ready,R4,49920.0,6.26
1601,Offplan,NONE,,
4071,Offplan,NONE,,
1446,Offplan,NONE,,
4425,Offplan,NONE,,
3646,Unknown,NONE,,
2134,Offplan,NONE,,
727,Offplan,NONE,,
6134,Offplan,NONE,,
6563,Offplan,NONE,,
3464,Unknown,NONE,,
1693,Offplan,NONE,,
2318,Offplan,NONE,,
4052,Offplan,NONE,,
3413,Offplan,NONE,,
5175,Offplan,NONE,,
4557,Offplan,NONE,,
2273,Offplan,NONE,,
4521,Offplan,NONE,,
7078,Offplan,NONE,,
7348,Offplan,NONE,,
4720,Offplan,NONE,,
4543,Offplan,NONE,,
4202,Unknown,NONE,,
933,Offplan,NONE,,
847,Offplan,NONE,,
4363,Offplan,NONE,,
7085,Offplan,NONE,,
5071,Offplan,NONE,,
6649,Ready,R2,91200.0,7.08
4694,Ready,R4,124800.0,4.89
5342,Offplan,NONE,,
5592,Offplan,NONE,,
4204,Offplan,NONE,,
7357,Offplan,NONE,,
6872,Offplan,NONE,,
1067,Offplan,NONE,,
378,Offplan,NONE,,
2329,Offplan,NONE,,
6886,Offplan,NONE,,
7509,Offplan,NONE,,
4368,Offplan,NONE,,
1648,Unknown,NONE,,
8320,Ready,R4,81600.0,3.71
8049,Offplan,NONE,,
8296,Offplan,NONE,,
2585,Offplan,NONE,,
1583,Offplan,NONE,,
7740,Offplan,NONE,,
1987,Offplan,NONE,,
6692,Offplan,NONE,,
2607,Offplan,NONE,,
4771,Offplan,NONE,,
5092,Ready,R3,34560.0,5.63
7772,Offplan,NONE,,
8307,Offplan,NONE,,
4124,Offplan,NONE,,
165,Offplan,NONE,,
1919,Offplan,NONE,,
7608,Ready,R4,62400.0,5.83
4939,Offplan,NONE,,
8158,Offplan,NONE,,
3554,Offplan,NONE,,
2751,Offplan,NONE,,
622,Offplan,NONE,,
7867,Offplan,NONE,,
1680,Offplan,NONE,,
574,Offplan,NONE,,
6987,Offplan,NONE,,
692,Offplan,NONE,,
3479,Offplan,NONE,,
5400,Offplan,NONE,,
4670,Offplan,NONE,,
1978,Offplan,NONE,,
7778,Offplan,NONE,,
5164,Offplan,NONE,,
3407,Ready,R4,72000.0,4.53
3375,Ready,R2,139200.0,7.33
3842,Offplan,NONE,,
7390,Offplan,NONE,,
6440,Offplan,NONE,,
6350,Ready,R2,134400.0,8.96
2242,Offplan,NONE,,
6518,Offplan,NONE,,
2276,Ready,R2,110400.0,5.02
4376,Offplan,NONE,,
1351,Offplan,NONE,,
3838,Offplan,NONE,,
1445,Offplan,NONE,,
4280,Offplan,NONE,,
7311,Offplan,NONE,,
944,Offplan,NONE,,
3130,Offplan,NONE,,
2115,Offplan,NONE,,
4746,Offplan,NONE,,
4448,Offplan,NONE,,
2152,Offplan,NONE,,
8241,Offplan,NONE,,
5054,Offplan,NONE,,
6378,Offplan,NONE,,
3772,Offplan,NONE,,
4964,Offplan,NONE,,
4281,Offplan,NONE,,
2943,Offplan,NONE,,
5249,Offplan,NONE,,
7868,Offplan,NONE,,
7678,Offplan,NONE,,
7225,Offplan,NONE,,
1284,Offplan,NONE,,
7943,Offplan,NONE,,
7114,Unknown,NONE,,
6209,Ready,R2,72000.0,7.2
1743,Offplan,NONE,,
5073,Ready,R2,55680.0,7.95
3981,Offplan,NONE,,
760,Offplan,NONE,,
1487,Offplan,NONE,,
8010,Offplan,NONE,,
3928,Offplan,NONE,,
3940,Offplan,NONE,,
6144,Offplan,NONE,,
2472,Offplan,NONE,,
1164,Offplan,NONE,,
6695,Ready,R2,52800.0,7.33
2460,Ready,R4,86400.0,5.08
7272,Offplan,NONE,,
108,Offplan,NONE,,
4825,Offplan,NONE,,
313,Offplan,NONE,,
2489,Unknown,NONE,,
2608,Offplan,NONE,,
4915,Offplan,NONE,,
5960,Offplan,NONE,,
3898,Offplan,NONE,,
7033,Offplan,NONE,,
3527,Offplan,NONE,,
7792,Ready,R2,49920.0,7.56
744,Offplan,NONE,,
6769,Offplan,NONE,,
869,Offplan,NONE,,
2410,Offplan,NONE,,
7663,Ready,R4,86592.0,4.5
5951,Offplan,NONE,,
3318,Offplan,NONE,,
7709,Offplan,NONE,,
3262,Offplan,NONE,,
2725,Ready,R4,84480.0,93.87
1545,Offplan,NONE,,
617,Offplan,NONE,,
6233,Offplan,NONE,,
5068,Offplan,NONE,,
6502,Offplan,NONE,,
6029,Offplan,NONE,,
7549,Offplan,NONE,,
6756,Offplan,NONE,,
8099,Offplan,NONE,,
38,Offplan,NONE,,
6540,Ready,R4,86590.0,4.56
3703,Offplan,NONE,,
4810,Offplan,NONE,,
93,Ready,R4,187200.0,23.2
4875,Offplan,NONE,,
3644,Offplan,NONE,,
1395,Offplan,NONE,,
6477,Offplan,NONE,,
8362,Offplan,NONE,,
1202,Offplan,NONE,,
3290,Offplan,NONE,,
4970,Offplan,NONE,,
1261,Offplan,NONE,,
6156,Offplan,NONE,,
4190,Offplan,NONE,,
2168,Offplan,NONE,,
4344,Offplan,NONE,,
4961,Offplan,NONE,,
3085,Offplan,NONE,,
1009,Offplan,NONE,,
485,Offplan,NONE,,
