property_id,unit_status,area,project,bedrooms,size_sqft,price_aed,dld_evidence_status,selected_tier,annual_market_rent_estimate,gross_rental_yield,comparable_count,estimation_method,evidence_level,production_eligible,production_signal_source,validation_status,dld_rental_area,warnings,size_sqm,R1_comparables,R1_median_annual,R1_estimate,R1_method,R1_confidence,R1_rejected,R2_comparables,R2_median_annual,R2_estimate,R2_method,R2_confidence,R2_rejected,R3_comparables,R3_median_annual,R3_estimate,R3_method,R3_confidence,R3_rejected,R4_comparables,R4_median_annual,R4_estimate,R4_method,R4_confidence,R4_rejected
6749,offplan,Jumeirah village circle,violet tower,0.0,460.0,715000.0,DLD_NO_EVIDENCE,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
3379,offplan,Siniya Island,yachtside marina residences,2.0,685.0,1765854.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
2161,ready,Damac Hills 2,hotel edge by rotana,1.0,481.0,663600.0,DLD_MISSING,R4,36952.18416003337,5.568442459317868,458.0,median_psf_times_size,AREA_LEVEL,False,NONE,SHADOW_RESEARCH,Dubai Investment Park First,,44.7,0.0,,,insufficient_data,0.0,True,0.0,,,insufficient_data,0.0,True,0.0,,,insufficient_data,0.0,True,458.0,37492.5,36952.18416003337,median_psf_times_size,0.4,False
734,offplan,Dubai Motor City,sobha solis,2.0,615.0,1146270.0,DLD_MATCH,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
6982,ready,Jumeirah village circle,binghatti rose,1.0,659.0,840000.0,DLD_MATCH,R2,65013.91469373622,7.739751749254312,27.0,median_psf_times_size,PROJECT_LEVEL,False,NONE,SHADOW_RESEARCH,Al Barsha South Fourth,,61.2,0.0,,,insufficient_data,0.0,True,27.0,67000.0,65013.91469373622,median_psf_times_size,0.8,False,0.0,,,insufficient_data,0.0,True,2824.0,62000.0,59251.24749362506,median_psf_times_size,0.4,False
200,offplan,Dubai Design District,artistry one residences,2.0,909.0,2624000.0,DLD_MATCH,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
3201,ready,Jumeirah village circle,binghatti nova,2.0,989.0,1380000.0,DLD_NO_EVIDENCE,R4,79396.12674609864,5.753342517833235,3498.0,median_psf_times_size,AREA_LEVEL,False,NONE,SHADOW_RESEARCH,Al Barsha South Fourth,,91.9,0.0,,,insufficient_data,0.0,True,9.0,75900.0,85823.01162205554,median_psf_times_size,0.45,False,0.0,,,insufficient_data,0.0,True,3498.0,73000.0,79396.12674609864,median_psf_times_size,0.4,False
8175,offplan,Siniya Island,pristine beach residences,1.0,619.0,1719308.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
8301,offplan,Siniya Island,sobha tranquil beach residences,1.0,510.0,1403371.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
2420,offplan,Business Bay,chic tower,1.0,774.0,1780000.0,DLD_MATCH,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
8171,offplan,Al Furjan,azizi jewel,0.0,345.0,569000.0,DLD_MATCH,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
1989,offplan,Jumeirah village circle,binghatti grove,1.0,792.0,1100000.0,DLD_MATCH,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
2320,offplan,Siniya Island,bayfront marina residences,1.0,511.0,1335490.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
4030,offplan,Jebel Ali,azizi abraham,2.0,961.0,1507000.0,DLD_NO_EVIDENCE,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
