property_id,prod_rent,debug_rent,rent_match,prod_p25,debug_p25,prod_p75,debug_p75,range_match,prod_yield,debug_yield,yield_match,prod_tier,debug_tier,prod_label,debug_label,tier_semantic_match
2161,36288.0,36288.0,True,32640.0,32640.0,41251.0,41251.0,True,5.47,5.47,True,R4,R4,Estimated Area Rent,Estimated Area Rent,True
6982,63360.0,63360.0,True,59520.0,59520.0,67200.0,67200.0,True,7.54,7.54,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
3201,72000.0,72000.0,True,67200.0,67200.0,76800.0,76800.0,True,5.22,5.22,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
6250,86400.0,86400.0,True,81600.0,81600.0,94080.0,94080.0,True,6.65,6.65,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
2666,96000.0,96000.0,True,82560.0,82560.0,105600.0,105600.0,True,6.53,6.53,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
1181,88320.0,88320.0,True,75569.0,75569.0,110400.0,110400.0,True,5.52,5.52,True,R4,R4,Estimated Area Rent,Estimated Area Rent,True
1829,63360.0,63360.0,True,56640.0,56640.0,72000.0,72000.0,True,6.95,6.95,True,R4,R4,Estimated Area Rent,Estimated Area Rent,True
5128,105600.0,105600.0,True,105600.0,105600.0,124062.0,124062.0,True,3.77,3.77,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
844,81600.0,81600.0,True,72000.0,72000.0,124800.0,124800.0,True,7.42,7.42,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
4699,139200.0,139200.0,True,129600.0,129600.0,148800.0,148800.0,True,9.28,9.28,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
7112,65280.0,65280.0,True,57600.0,57600.0,72000.0,72000.0,True,12.98,12.98,True,R4,R4,Estimated Area Rent,Estimated Area Rent,True
3765,84480.0,84480.0,True,70579.0,70579.0,103680.0,103680.0,True,4.45,4.45,True,R4,R4,Estimated Area Rent,Estimated Area Rent,True
7881,120000.0,120000.0,True,110163.0,110163.0,134400.0,134400.0,True,8.57,8.57,True,R4,R4,Estimated Area Rent,Estimated Area Rent,True
409,163200.0,163200.0,True,144000.0,144000.0,182400.0,182400.0,True,6.04,6.04,True,R4,R4,Estimated Area Rent,Estimated Area Rent,True
1330,57600.0,57600.0,True,52658.0,52658.0,62400.0,62400.0,True,10.29,10.29,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
2899,105600.0,105600.0,True,86400.0,86400.0,120000.0,120000.0,True,5.1,5.1,True,R4,R4,Estimated Area Rent,Estimated Area Rent,True
2155,105600.0,105600.0,True,96000.0,96000.0,115200.0,115200.0,True,8.8,8.8,True,R2,R2,Estimated Project Rent,Estimated Project Rent,True
