property_id,has_rental_context,market_context_source,production_signal_source,apil_advantage_pct,conventional_position_pct,fit_score,rental_tier,rental_yield
6749,True,AREA_FALLBACK,NONE,,,,NONE,
3379,True,NONE,NONE,,,,NONE,
2161,True,NONE,NONE,,,,R4,5.47
734,True,CANONICAL_DLD,CANONICAL_DLD,97.43,49.35,,NONE,
6982,True,AREA_FALLBACK,NONE,,,,R2,7.54
200,True,CANONICAL_DLD,CANONICAL_DLD,74.53,42.7,,NONE,
3201,True,AREA_FALLBACK,NONE,,,,R2,5.22
8175,True,NONE,NONE,,,,NONE,
8301,True,NONE,NONE,,,,NONE,
2420,True,CANONICAL_DLD,CANONICAL_DLD,56.84,36.24,,NONE,
8171,True,CANONICAL_DLD,CANONICAL_DLD,-4.92,-5.18,,NONE,
1989,True,CANONICAL_DLD,CANONICAL_DLD,44.32,30.71,,NONE,
2320,True,NONE,NONE,,,,NONE,
4030,True,NONE,NONE,,,,NONE,
7540,True,AREA_FALLBACK,NONE,,,,NONE,
6106,True,NONE,NONE,,,,NONE,
5819,True,CANONICAL_DLD,CANONICAL_DLD,40.97,29.07,,NONE,
3067,True,AREA_FALLBACK,NONE,,,,NONE,
6250,True,AREA_FALLBACK,NONE,,,,R2,6.65
2464,True,NONE,NONE,,,,NONE,
