n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,area,estimator,n_properties,n_tiers,tiers
969,11.54,20.0,28.57,7.69,9.06,8000.0,14.72,Al Barsha South Fourth,A,49,1,R2
969,12.66,22.64,36.68,9.4,11.65,8820.0,16.92,Al Barsha South Fourth,B,49,1,R2
969,12.49,22.64,37.08,9.61,11.73,8820.0,16.94,Al Barsha South Fourth,C,49,1,R2
969,11.11,20.0,28.57,7.69,8.63,8000.0,14.52,Al Barsha South Fourth,D,49,1,R2
28633,14.67,25.0,35.14,2.81,4.18,9500.0,18.17,Al Barshaa South Third,A,21,2,"R2,R4"
28633,15.8,26.4,39.75,5.11,7.52,10060.0,19.58,Al Barshaa South Third,B,21,2,"R2,R4"
28633,15.78,26.5,39.97,5.36,7.76,10122.0,19.64,Al Barshaa South Third,C,21,2,"R2,R4"
28633,14.64,25.0,35.07,2.32,4.03,9320.0,18.11,Al Barshaa South Third,D,21,2,"R2,R4"
6391,11.43,20.0,30.67,0.0,1.13,6000.0,14.66,Al Hebiah Fourth,A,8,1,R4
6391,14.15,24.97,35.84,6.44,7.8,7904.0,17.46,Al Hebiah Fourth,B,8,1,R4
6391,14.17,25.05,35.89,6.45,7.89,7933.0,17.49,Al Hebiah Fourth,C,8,1,R4
6391,11.43,20.0,30.67,0.0,1.08,6000.0,14.64,Al Hebiah Fourth,D,8,1,R4
2462,11.39,22.02,31.8,2.22,1.77,8000.0,14.69,Al Jadaf,A,2,1,R4
2462,12.4,22.59,32.31,3.7,4.12,8709.0,15.4,Al Jadaf,B,2,1,R4
2462,12.46,23.09,32.55,4.35,4.68,8938.0,15.62,Al Jadaf,C,2,1,R4
2462,11.27,21.83,31.73,1.45,1.66,8000.0,14.65,Al Jadaf,D,2,1,R4
67786,12.5,20.93,31.58,5.02,5.96,15000.0,16.68,Al Khairan First,A,25,2,"R2,R4"
67786,13.21,23.79,37.68,7.45,10.0,15598.0,18.62,Al Khairan First,B,25,2,"R2,R4"
67786,13.31,23.85,37.81,7.64,10.2,15604.0,18.7,Al Khairan First,C,25,2,"R2,R4"
67786,12.5,20.83,31.26,4.76,5.67,15000.0,16.55,Al Khairan First,D,25,2,"R2,R4"
6882,17.28,28.0,39.68,2.41,4.59,15000.0,20.91,Al Thanyah Fifth,A,8,2,"R2,R4"
6882,18.25,30.02,43.87,7.04,10.06,17534.0,23.05,Al Thanyah Fifth,B,8,2,"R2,R4"
6882,18.33,30.12,44.43,7.33,10.43,17693.0,23.21,Al Thanyah Fifth,C,8,2,"R2,R4"
6882,17.24,27.9,39.53,2.33,4.45,15000.0,20.87,Al Thanyah Fifth,D,8,2,"R2,R4"
24377,20.69,35.0,53.85,4.35,8.65,35000.0,26.68,Burj Khalifa,A,11,2,"R2,R4"
24377,22.59,38.08,61.13,10.62,14.9,39277.0,29.41,Burj Khalifa,B,11,2,"R2,R4"
24377,22.68,38.54,61.57,10.83,15.2,39383.0,29.54,Burj Khalifa,C,11,2,"R2,R4"
24377,20.45,35.0,53.71,4.17,8.34,35000.0,26.56,Burj Khalifa,D,11,2,"R2,R4"
99938,17.11,30.0,44.97,6.81,8.95,15000.0,21.87,Business Bay,A,52,2,"R2,R4"
99938,18.01,31.59,47.55,8.75,11.24,16419.0,23.0,Business Bay,B,52,2,"R2,R4"
99938,18.05,31.82,47.97,9.13,11.62,16549.0,23.16,Business Bay,C,52,2,"R2,R4"
99938,16.8,29.64,44.44,6.25,8.55,15000.0,21.69,Business Bay,D,52,2,"R2,R4"
263,12.94,21.95,32.48,-6.25,-0.58,5125.0,19.04,Dubai Investment Park First,A,1,1,R4
263,12.84,21.77,32.3,-6.9,-1.04,5176.0,18.98,Dubai Investment Park First,B,1,1,R4
263,12.64,21.67,32.16,-6.9,-0.83,5092.0,18.94,Dubai Investment Park First,C,1,1,R4
263,13.64,21.95,31.61,-5.26,-0.06,5000.0,19.09,Dubai Investment Park First,D,1,1,R4
22265,14.77,27.38,38.57,-0.68,-0.23,8510.0,18.4,Jabal Ali First,A,9,2,"R2,R4"
22265,18.57,31.22,41.97,8.48,9.33,11335.0,22.0,Jabal Ali First,B,9,2,"R2,R4"
22265,18.67,31.42,42.07,8.62,9.52,11420.0,22.08,Jabal Ali First,C,9,2,"R2,R4"
22265,14.74,27.36,38.52,-0.74,-0.25,8500.0,18.38,Jabal Ali First,D,9,2,"R2,R4"
3627,11.87,23.66,37.93,2.44,5.19,7000.0,17.42,Madinat Al Mataar,A,5,1,R4
3627,12.45,24.0,39.7,0.9,6.05,7547.0,18.55,Madinat Al Mataar,B,5,1,R4
3627,12.47,23.91,39.52,1.02,6.07,7603.0,18.54,Madinat Al Mataar,C,5,1,R4
3627,11.84,23.86,37.92,2.44,4.99,7000.0,17.37,Madinat Al Mataar,D,5,1,R4
23003,20.76,36.36,55.56,2.38,2.83,25000.0,26.53,Marsa Dubai,A,16,2,"R2,R4"
23003,23.22,40.44,59.1,7.96,8.98,27435.0,29.01,Marsa Dubai,B,16,2,"R2,R4"
23003,23.54,41.1,59.69,8.79,9.86,27952.0,29.41,Marsa Dubai,C,16,2,"R2,R4"
23003,20.63,36.36,55.56,2.04,2.54,25000.0,26.44,Marsa Dubai,D,16,2,"R2,R4"
564,12.0,21.57,30.2,2.7,3.39,10000.0,15.11,Nad Al Shiba First,A,3,1,R4
564,14.54,25.68,39.09,5.14,8.3,12565.0,18.82,Nad Al Shiba First,B,3,1,R4
564,14.54,25.9,39.22,5.62,8.43,12500.0,18.87,Nad Al Shiba First,C,3,1,R4
564,12.0,21.59,30.32,2.7,3.26,10000.0,15.07,Nad Al Shiba First,D,3,1,R4
4329,18.55,33.27,49.1,3.42,7.22,30939.0,25.55,Palm Jumeirah,A,13,2,"R2,R4"
4329,18.43,33.71,51.28,2.78,7.29,31629.0,26.49,Palm Jumeirah,B,13,2,"R2,R4"
4329,18.57,33.87,51.57,3.43,7.87,31872.0,26.6,Palm Jumeirah,C,13,2,"R2,R4"
4329,18.46,32.81,48.57,3.17,6.99,30550.0,25.46,Palm Jumeirah,D,13,2,"R2,R4"
1329,14.09,23.53,34.78,-3.75,-1.26,9000.0,17.58,Wadi Al Safa 3,A,3,1,R4
1329,14.45,23.69,35.79,-2.14,-0.45,9169.0,18.03,Wadi Al Safa 3,B,3,1,R4
1329,14.44,23.72,35.65,-1.78,-0.38,9123.0,18.03,Wadi Al Safa 3,C,3,1,R4
1329,14.29,23.2,34.78,-3.75,-1.2,9000.0,17.57,Wadi Al Safa 3,D,3,1,R4
2854,11.76,20.12,29.41,-0.67,0.78,6000.0,14.8,Wadi Al Safa 5,A,3,1,R4
2854,12.41,21.45,35.37,4.05,6.79,6594.0,16.44,Wadi Al Safa 5,B,3,1,R4
2854,12.4,21.53,35.29,4.15,6.84,6665.0,16.46,Wadi Al Safa 5,C,3,1,R4
