n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,dimension,value
295672,15.6,27.27,41.67,4.29,6.07,15000.0,20.45,estimator,A_MEDIAN_ANNUAL
295672,16.85,29.91,45.75,7.59,10.19,15839.0,22.28,estimator,B_MEDIAN_PSF_X_SIZE
295672,16.92,30.07,46.04,7.89,10.51,15939.0,22.42,estimator,C_ROBUST_PSF_IQR
295672,15.38,27.27,41.61,4.0,5.79,15000.0,20.34,estimator,D_RECENCY_WEIGHTED
2630,11.54,20.0,29.73,8.04,10.25,10000.0,15.83,tier_R2,A
2630,12.08,20.91,32.31,7.84,10.58,10094.0,16.65,tier_R2,B
2630,12.0,20.92,32.31,7.89,10.64,10116.0,16.65,tier_R2,C
2630,11.11,20.0,29.05,7.69,9.72,10000.0,15.57,tier_R2,D
293042,15.62,27.29,41.74,4.17,6.03,15000.0,20.49,tier_R4,A
293042,16.91,30.0,45.84,7.58,10.18,15916.0,22.33,tier_R4,B
293042,16.97,30.17,46.14,7.89,10.51,15997.0,22.47,tier_R4,C
293042,15.4,27.27,41.67,4.0,5.75,15000.0,20.38,tier_R4,D
969,12.66,22.64,36.68,9.4,11.65,8820.0,16.92,area,Al Barsha South Fourth
28633,15.8,26.4,39.75,5.11,7.52,10060.0,19.58,area,Al Barshaa South Third
6391,14.15,24.97,35.84,6.44,7.8,7904.0,17.46,area,Al Hebiah Fourth
2462,12.4,22.59,32.31,3.7,4.12,8709.0,15.4,area,Al Jadaf
67786,13.21,23.79,37.68,7.45,10.0,15598.0,18.62,area,Al Khairan First
6882,18.25,30.02,43.87,7.04,10.06,17534.0,23.05,area,Al Thanyah Fifth
24377,22.59,38.08,61.13,10.62,14.9,39277.0,29.41,area,Burj Khalifa
99938,18.01,31.59,47.55,8.75,11.24,16419.0,23.0,area,Business Bay
263,12.84,21.77,32.3,-6.9,-1.04,5176.0,18.98,area,Dubai Investment Park First
22265,18.57,31.22,41.97,8.48,9.33,11335.0,22.0,area,Jabal Ali First
3627,12.45,24.0,39.7,0.9,6.05,7547.0,18.55,area,Madinat Al Mataar
23003,23.22,40.44,59.1,7.96,8.98,27435.0,29.01,area,Marsa Dubai
564,14.54,25.68,39.09,5.14,8.3,12565.0,18.82,area,Nad Al Shiba First
4329,18.43,33.71,51.28,2.78,7.29,31629.0,26.49,area,Palm Jumeirah
1329,14.45,23.69,35.79,-2.14,-0.45,9169.0,18.03,area,Wadi Al Safa 3
2854,12.41,21.45,35.37,4.05,6.79,6594.0,16.44,area,Wadi Al Safa 5
4515,17.25,28.58,42.53,3.93,6.24,12899.0,21.08,project,48 parkside
2854,12.41,21.45,35.37,4.05,6.79,6594.0,16.44,project,4direction residence 1
6298,15.81,28.49,43.36,6.92,9.25,14236.0,20.76,project,ag tower
6811,17.7,31.66,46.78,9.67,11.92,16465.0,22.64,project,ahad residences
5108,18.22,32.06,47.22,6.81,9.67,18537.0,23.02,project,avanti tower
8036,16.59,28.9,44.23,4.82,7.75,14618.0,21.11,project,aykon city tower
11151,18.01,30.93,44.6,8.89,10.22,10959.0,22.27,project,azizi amber
3823,16.92,29.48,38.25,4.78,6.14,10905.0,19.76,project,azizi feirouz
3525,22.62,33.67,48.63,12.98,12.46,13703.0,25.45,project,azizi lina
1030,16.13,29.78,45.72,0.97,4.05,26522.0,22.78,project,azizi mina
374,13.55,25.43,39.21,-2.14,0.92,10632.0,18.27,project,barari views
10522,15.0,28.17,42.94,5.66,10.81,19478.0,20.53,project,bayshore at creek beach
4604,14.01,24.04,34.8,1.72,4.22,8386.0,17.31,project,beverly boulevard
60,20.03,33.16,47.77,17.88,17.22,14658.0,22.39,project,binghatti amber
6323,17.32,29.93,47.02,7.6,10.39,15014.0,22.17,project,binghatti canal
28,13.26,22.0,29.08,6.75,19.51,9462.0,23.72,project,binghatti crescent
47,13.24,36.61,65.45,5.65,19.39,11021.0,26.43,project,binghatti crest
40,5.65,10.61,18.11,5.65,6.07,3677.0,8.01,project,binghatti emerald
14,11.43,15.52,23.05,4.3,5.02,9055.0,13.84,project,binghatti galaxy
53,12.58,18.02,23.2,12.58,12.11,8175.0,12.74,project,binghatti gardenia
48,15.59,23.92,36.61,15.59,13.52,10135.0,18.95,project,binghatti house
31,8.03,13.56,18.12,4.48,5.24,6716.0,9.92,project,binghatti lavender
36,11.74,17.75,28.1,-4.8,0.97,8207.0,14.34,project,binghatti luna
43,13.39,17.07,26.86,13.26,11.85,8218.0,14.55,project,binghatti nova
114,7.09,14.81,22.58,4.64,5.47,5670.0,9.93,project,binghatti onyx
77,9.49,14.38,21.02,8.43,8.71,7656.0,10.83,project,binghatti orchid
27,7.59,15.44,24.77,6.54,6.96,5231.0,10.89,project,binghatti rose
76,16.14,24.87,30.4,4.69,1.95,12748.0,16.35,project,binghatti royale
43,15.77,22.72,26.56,13.58,9.0,10329.0,16.14,project,binghatti tulip
2462,12.4,22.59,32.31,3.7,4.12,8709.0,15.4,project,binghatti twilight
8225,22.59,38.54,58.44,12.74,15.0,38203.0,29.11,project,canal front residences
2868,15.96,26.61,36.37,12.12,11.57,8720.0,19.12,project,canal residence west
796,8.81,17.46,29.52,-0.3,1.32,3352.0,12.68,project,casa aura residence
