n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,project,estimator,n_properties,areas
4515,17.36,27.78,38.3,0.0,3.48,12500.0,20.07,48 parkside,A,3,Al Barshaa South Third
4515,17.25,28.58,42.53,3.93,6.24,12899.0,21.08,48 parkside,B,3,Al Barshaa South Third
4515,17.19,28.68,42.66,4.15,6.44,12930.0,21.13,48 parkside,C,3,Al Barshaa South Third
4515,17.22,27.78,38.3,0.0,3.46,12500.0,20.07,48 parkside,D,3,Al Barshaa South Third
2854,11.76,20.12,29.41,-0.67,0.78,6000.0,14.8,4direction residence 1,A,3,Wadi Al Safa 5
2854,12.41,21.45,35.37,4.05,6.79,6594.0,16.44,4direction residence 1,B,3,Wadi Al Safa 5
2854,12.4,21.53,35.29,4.15,6.84,6665.0,16.46,4direction residence 1,C,3,Wadi Al Safa 5
2854,11.76,20.12,29.41,-0.67,0.82,6000.0,14.8,4direction residence 1,D,3,Wadi Al Safa 5
6298,16.62,28.57,44.39,8.33,9.79,15000.0,21.07,ag tower,A,3,Business Bay
6298,15.81,28.49,43.36,6.92,9.25,14236.0,20.76,ag tower,B,3,Business Bay
6298,15.86,28.69,43.69,7.44,9.64,14508.0,20.91,ag tower,C,3,Business Bay
6298,16.13,28.57,43.84,7.71,9.41,15000.0,20.89,ag tower,D,3,Business Bay
6811,16.67,28.95,43.46,7.14,8.23,15000.0,21.28,ahad residences,A,4,Business Bay
6811,17.7,31.66,46.78,9.67,11.92,16465.0,22.64,ahad residences,B,4,Business Bay
6811,17.71,32.0,47.03,10.2,12.28,16675.0,22.82,ahad residences,C,4,Business Bay
6811,16.67,28.8,42.86,6.25,7.85,15000.0,21.1,ahad residences,D,4,Business Bay
5108,17.65,30.94,46.15,5.56,8.59,17125.0,22.14,avanti tower,A,3,Business Bay
5108,18.22,32.06,47.22,6.81,9.67,18537.0,23.02,avanti tower,B,3,Business Bay
5108,18.26,32.22,47.79,7.24,10.06,18744.0,23.18,avanti tower,C,3,Business Bay
5108,17.34,30.33,45.84,5.26,8.13,17000.0,21.95,avanti tower,D,3,Business Bay
8036,16.67,29.82,45.45,6.67,9.66,15000.0,21.75,aykon city tower,A,4,Business Bay
8036,16.59,28.9,44.23,4.82,7.75,14618.0,21.11,aykon city tower,B,4,Business Bay
8036,16.64,29.01,44.66,5.29,8.12,14715.0,21.24,aykon city tower,C,4,Business Bay
8036,16.67,29.41,45.27,6.62,9.22,15000.0,21.55,aykon city tower,D,4,Business Bay
11151,14.33,26.94,38.52,-0.62,0.11,8000.0,18.12,azizi amber,A,4,Jabal Ali First
11151,18.01,30.93,44.6,8.89,10.22,10959.0,22.27,azizi amber,B,4,Jabal Ali First
11151,18.02,31.09,44.84,9.08,10.39,10959.0,22.34,azizi amber,C,4,Jabal Ali First
11151,14.39,26.81,38.51,-0.72,0.1,8000.0,18.12,azizi amber,D,4,Jabal Ali First
3823,15.07,27.1,38.12,-0.35,0.76,9559.0,18.44,azizi feirouz,A,1,Jabal Ali First
3823,16.92,29.48,38.25,4.78,6.14,10905.0,19.76,azizi feirouz,B,1,Jabal Ali First
