candidate,n,median_ape,p75_ape,p90_ape,median_bias,mean_bias,ut_n,ut_median_ape,ut_p75_ape,ut_p90_ape,ut_median_bias,proj_wtd_median_ape,proj_wtd_p90,area_wtd_median_ape,area_wtd_p90,ex_bb_median_ape,ex_bb_p90,ex_bb_bias,burj_khalifa_ape,burj_khalifa_p90,marsa_dubai_ape,marsa_dubai_p90,palm_jumeirah_ape,palm_jumeirah_p90,business_bay_ape,business_bay_p90,coverage
V1.1_BASELINE,169068,14.29,25.44,38.38,-0.31,1.28,23475,14.23,25.15,38.19,-1.6,19.08,23.74,13.77,18.65,13.6,37.39,-1.47,20.0,49.26,19.47,48.61,17.42,45.15,15.64,39.84,293042
SUBTYPE_FLAT,169068,14.29,25.46,38.45,-0.31,1.32,23475,14.24,25.15,38.13,-1.6,19.13,23.75,13.85,18.65,13.6,37.39,-1.41,20.0,49.26,19.47,48.61,17.42,45.15,15.67,39.9,293042
SUBTYPE_APT_FAM,169068,14.29,25.46,38.45,-0.31,1.32,23475,14.24,25.15,38.14,-1.6,19.13,23.75,13.85,18.65,13.6,37.39,-1.41,20.0,49.26,19.47,48.61,17.42,45.15,15.67,39.9,293042
SIZE_15,169068,14.52,25.96,39.73,1.65,3.68,23475,14.29,25.33,38.82,0.95,19.48,24.7,14.29,19.21,13.85,39.11,0.8,20.0,56.0,20.25,50.87,18.02,48.65,15.86,41.17,293042
SIZE_10,169058,14.67,26.36,40.65,1.65,4.29,23470,14.33,25.54,39.13,1.54,19.48,25.38,14.29,19.65,14.0,40.24,1.33,20.7,56.57,20.57,51.81,18.26,51.27,16.0,41.46,292993
SIZE_20,169068,14.41,25.68,39.2,0.8,2.58,23475,14.2,25.12,38.04,-0.69,19.27,24.35,14.26,18.67,13.66,38.53,-0.16,20.5,52.52,19.31,49.54,17.71,47.64,15.56,40.31,293042
NEW_ONLY,169068,14.87,26.65,40.49,2.68,5.08,23475,15.2,26.8,40.0,3.76,20.16,24.76,14.35,19.36,14.11,39.52,1.65,20.31,52.73,20.0,50.4,18.4,48.0,16.24,42.55,293042
TRIMMED_10,169068,14.29,25.65,38.67,0.65,2.29,23475,14.13,25.44,38.37,-0.38,19.17,24.4,13.53,19.16,13.6,37.6,-0.49,20.59,50.0,19.74,50.85,18.3,46.31,15.96,40.31,293042
IQR_2_0,169068,14.29,25.52,38.61,0.0,1.65,23475,14.11,25.22,38.26,-1.16,19.04,23.9,13.53,18.8,13.6,37.39,-1.09,20.59,49.65,19.52,48.97,17.71,45.33,15.86,40.06,293042
PSF_STRAT_SIZE,169068,15.41,28.0,42.08,3.33,6.08,23475,15.29,27.56,41.2,4.0,19.93,27.13,15.71,20.13,15.2,41.6,2.4,20.7,60.0,21.78,55.01,19.27,52.36,16.63,43.45,293040
PROJECT_PREF,169068,16.8,30.91,49.33,4.35,8.98,23475,17.6,32.78,51.49,6.8,20.2,37.69,13.92,25.56,16.31,50.86,4.73,21.07,50.4,30.29,82.86,21.41,69.82,17.73,47.51,293042
ABS_SIZE,169068,14.67,26.29,39.52,0.96,2.88,23475,14.29,25.71,38.67,0.8,19.45,24.45,14.67,19.63,14.0,38.91,0.34,20.7,56.0,20.0,50.86,19.07,48.56,15.86,40.39,293042
FLAT_SIZE_15,169068,14.52,25.99,39.78,1.65,3.72,23475,14.29,25.43,38.84,1.05,19.5,24.75,14.29,19.21,13.85,39.1,0.8,20.0,56.0,20.2,50.9,18.02,48.65,15.86,41.18,293042
FLAT_SIZE_10,169058,14.72,26.4,40.65,1.65,4.32,23470,14.38,25.54,39.15,1.59,19.48,25.41,14.29,19.67,14.0,40.22,1.33,20.7,56.57,20.6,51.81,18.27,51.17,16.0,41.5,292993
