n,median_ape,p75_ape,p90_ape,median_bias,mean_bias,candidate,area
14151,20.0,34.0,49.26,-0.16,4.35,V1.1_BASELINE,Burj Khalifa
12926,19.47,32.92,48.61,-1.09,-0.59,V1.1_BASELINE,Marsa Dubai
2332,17.42,30.91,45.15,0.45,3.24,V1.1_BASELINE,Palm Jumeirah
58473,15.64,27.77,39.84,1.98,3.47,V1.1_BASELINE,Business Bay
14151,20.0,34.0,49.26,-0.16,4.36,SUBTYPE_FLAT,Burj Khalifa
12926,19.47,32.92,48.61,-1.05,-0.58,SUBTYPE_FLAT,Marsa Dubai
2332,17.42,30.91,45.15,0.44,3.22,SUBTYPE_FLAT,Palm Jumeirah
58473,15.67,27.85,39.9,2.0,3.54,SUBTYPE_FLAT,Business Bay
14151,20.0,34.0,49.26,-0.16,4.36,SUBTYPE_APT_FAM,Burj Khalifa
12926,19.47,32.92,48.61,-1.05,-0.57,SUBTYPE_APT_FAM,Marsa Dubai
2332,17.42,30.91,45.15,0.44,3.22,SUBTYPE_APT_FAM,Palm Jumeirah
58473,15.67,27.85,39.9,2.0,3.54,SUBTYPE_APT_FAM,Business Bay
14151,20.0,35.45,56.0,3.78,8.93,SIZE_15,Burj Khalifa
12926,20.25,34.04,50.87,2.0,3.17,SIZE_15,Marsa Dubai
2332,18.02,32.57,48.65,3.21,6.53,SIZE_15,Palm Jumeirah
58473,15.86,28.0,41.17,3.47,4.8,SIZE_15,Business Bay
14151,20.7,35.53,56.57,2.13,8.85,SIZE_10,Burj Khalifa
12926,20.57,34.64,51.81,2.19,3.93,SIZE_10,Marsa Dubai
2332,18.26,33.21,51.27,1.93,6.67,SIZE_10,Palm Jumeirah
58473,16.0,28.0,41.46,3.68,5.05,SIZE_10,Business Bay
14151,20.5,34.72,52.52,1.05,6.34,SIZE_20,Burj Khalifa
12926,19.31,33.22,49.54,0.8,1.47,SIZE_20,Marsa Dubai
2332,17.71,31.56,47.64,2.86,5.3,SIZE_20,Palm Jumeirah
58473,15.56,27.76,40.31,2.86,4.33,SIZE_20,Business Bay
14151,20.31,35.06,52.73,2.13,7.96,NEW_ONLY,Burj Khalifa
12926,20.0,34.4,50.4,2.4,3.38,NEW_ONLY,Marsa Dubai
2332,18.4,33.33,48.0,4.23,7.66,NEW_ONLY,Palm Jumeirah
58473,16.24,28.64,42.55,4.28,6.75,NEW_ONLY,Business Bay
14151,20.59,34.17,50.0,0.8,5.55,TRIMMED_10,Burj Khalifa
12926,19.74,33.78,50.85,1.86,2.91,TRIMMED_10,Marsa Dubai
2332,18.3,31.87,46.31,2.86,5.61,TRIMMED_10,Palm Jumeirah
58473,15.96,28.0,40.31,2.98,4.42,TRIMMED_10,Business Bay
14151,20.59,34.02,49.65,0.0,4.94,IQR_2_0,Burj Khalifa
12926,19.52,32.92,48.97,-0.61,0.08,IQR_2_0,Marsa Dubai
2332,17.71,30.91,45.33,1.31,3.89,IQR_2_0,Palm Jumeirah
58473,15.86,28.0,40.06,2.4,3.85,IQR_2_0,Business Bay
14151,20.7,36.91,60.0,5.0,12.12,PSF_STRAT_SIZE,Burj Khalifa
12926,21.78,37.39,55.01,6.87,8.15,PSF_STRAT_SIZE,Marsa Dubai
2332,19.27,33.59,52.36,4.29,7.71,PSF_STRAT_SIZE,Palm Jumeirah
58473,16.63,28.89,43.45,4.35,6.43,PSF_STRAT_SIZE,Business Bay
14151,21.07,34.4,50.4,0.0,5.09,PROJECT_PREF,Burj Khalifa
12926,30.29,53.6,82.86,20.0,26.17,PROJECT_PREF,Marsa Dubai
2332,21.41,40.32,69.82,2.86,12.13,PROJECT_PREF,Palm Jumeirah
58473,17.73,31.12,47.51,4.0,7.25,PROJECT_PREF,Business Bay
14151,20.7,34.4,56.0,0.17,6.81,ABS_SIZE,Burj Khalifa
12926,20.0,33.78,50.86,0.8,2.11,ABS_SIZE,Marsa Dubai
2332,19.07,31.76,48.56,-0.8,2.64,ABS_SIZE,Palm Jumeirah
58473,15.86,28.0,40.39,2.4,3.99,ABS_SIZE,Business Bay
14151,20.0,35.45,56.0,3.78,8.93,FLAT_SIZE_15,Burj Khalifa
12926,20.2,34.01,50.9,2.0,3.15,FLAT_SIZE_15,Marsa Dubai
2332,18.02,32.57,48.65,3.2,6.49,FLAT_SIZE_15,Palm Jumeirah
58473,15.86,28.0,41.18,3.64,4.87,FLAT_SIZE_15,Business Bay
14151,20.7,35.53,56.57,2.18,8.86,FLAT_SIZE_10,Burj Khalifa
12926,20.6,34.64,51.81,2.19,3.92,FLAT_SIZE_10,Marsa Dubai
2332,18.27,33.49,51.17,1.92,6.34,FLAT_SIZE_10,Palm Jumeirah
58473,16.0,28.0,41.5,3.68,5.11,FLAT_SIZE_10,Business Bay
