n,median_ape,p75_ape,p90_ape,median_bias,mean_bias,candidate
23475,14.23,25.15,38.19,-1.6,0.26,V1.1_BASELINE
23475,14.24,25.15,38.13,-1.6,0.3,SUBTYPE_FLAT
23475,14.24,25.15,38.14,-1.6,0.3,SUBTYPE_APT_FAM
23475,14.29,25.33,38.82,0.95,2.94,SIZE_15
23470,14.33,25.54,39.13,1.54,3.45,SIZE_10
23475,14.2,25.12,38.04,-0.69,1.19,SIZE_20
23475,15.2,26.8,40.0,3.76,5.82,NEW_ONLY
23475,14.13,25.44,38.37,-0.38,1.43,TRIMMED_10
23475,14.11,25.22,38.26,-1.16,0.69,IQR_2_0
23475,15.29,27.56,41.2,4.0,6.44,PSF_STRAT_SIZE
23475,17.6,32.78,51.49,6.8,11.21,PROJECT_PREF
23475,14.29,25.71,38.67,0.8,2.68,ABS_SIZE
23475,14.29,25.43,38.84,1.05,3.0,FLAT_SIZE_15
23470,14.38,25.54,39.15,1.59,3.48,FLAT_SIZE_10
