property_id,purchase_price_aed,official_dld_fee_status,official_dld_fee_aed,dld_buyer_share_pct,trustee_fee_status,trustee_fee_aed,title_deed_fee_status,title_deed_fee_aed,knowledge_fee_status,knowledge_fee_aed,innovation_fee_status,innovation_fee_aed,broker_purchase_status,developer_admin_status,acquisition_calculation_level,official_acquisition_fees_aed,known_acquisition_costs_aed,complete_acquisition_costs_aed,total_cash_invested_aed,missing_components
2161,663600.0,OFFICIAL_VERIFIED,13272.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,13542.0,13542.0,,,trustee_office_fee|broker_purchase_commission
6982,840000.0,OFFICIAL_VERIFIED,16800.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,17070.0,17070.0,,,trustee_office_fee|broker_purchase_commission
3201,1380000.0,OFFICIAL_VERIFIED,27600.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,27870.0,27870.0,,,trustee_office_fee|broker_purchase_commission
6250,1300000.0,OFFICIAL_VERIFIED,26000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,26270.0,26270.0,,,trustee_office_fee|broker_purchase_commission
2666,1470000.0,OFFICIAL_VERIFIED,29400.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,29670.0,29670.0,,,trustee_office_fee|broker_purchase_commission
1181,1600000.0,OFFICIAL_VERIFIED,32000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,32270.0,32270.0,,,trustee_office_fee|broker_purchase_commission
1829,912000.0,OFFICIAL_VERIFIED,18240.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,18510.0,18510.0,,,trustee_office_fee|broker_purchase_commission
5128,2800000.0,OFFICIAL_VERIFIED,56000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,56270.0,56270.0,,,trustee_office_fee|broker_purchase_commission
844,1100000.0,OFFICIAL_VERIFIED,22000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,22270.0,22270.0,,,trustee_office_fee|broker_purchase_commission
4699,1500000.0,OFFICIAL_VERIFIED,30000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,30270.0,30270.0,,,trustee_office_fee|broker_purchase_commission
7112,503000.0,OFFICIAL_VERIFIED,10060.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,10330.0,10330.0,,,trustee_office_fee|broker_purchase_commission
3765,1900000.0,OFFICIAL_VERIFIED,38000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,38270.0,38270.0,,,trustee_office_fee|broker_purchase_commission
7881,1399990.0,OFFICIAL_VERIFIED,27999.8,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,28269.8,28269.8,,,trustee_office_fee|broker_purchase_commission
409,2700000.0,OFFICIAL_VERIFIED,54000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,54270.0,54270.0,,,trustee_office_fee|broker_purchase_commission
1330,560000.0,OFFICIAL_VERIFIED,11200.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,11470.0,11470.0,,,trustee_office_fee|broker_purchase_commission
6834,1200000.0,OFFICIAL_VERIFIED,24000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,24270.0,24270.0,,,trustee_office_fee|broker_purchase_commission
2899,2068970.0,OFFICIAL_VERIFIED,41379.4,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,41649.4,41649.4,,,trustee_office_fee|broker_purchase_commission
5356,3600000.0,OFFICIAL_VERIFIED,72000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,72270.0,72270.0,,,trustee_office_fee|broker_purchase_commission
2155,1200000.0,OFFICIAL_VERIFIED,24000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,24270.0,24270.0,,,trustee_office_fee|broker_purchase_commission
6836,910000.0,OFFICIAL_VERIFIED,18200.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,18470.0,18470.0,,,trustee_office_fee|broker_purchase_commission
4753,961000.0,OFFICIAL_VERIFIED,19220.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,19490.0,19490.0,,,trustee_office_fee|broker_purchase_commission
2459,1288890.0,OFFICIAL_VERIFIED,25777.8,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,26047.8,26047.8,,,trustee_office_fee|broker_purchase_commission
2578,900000.0,OFFICIAL_VERIFIED,18000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,18270.0,18270.0,,,trustee_office_fee|broker_purchase_commission
1467,3016780.0,OFFICIAL_VERIFIED,60335.6,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,60605.6,60605.6,,,trustee_office_fee|broker_purchase_commission
6720,537000.0,OFFICIAL_VERIFIED,10740.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,11010.0,11010.0,,,trustee_office_fee|broker_purchase_commission
2473,1500000.0,OFFICIAL_VERIFIED,30000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,30270.0,30270.0,,,trustee_office_fee|broker_purchase_commission
8393,3900000.0,OFFICIAL_VERIFIED,78000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,78270.0,78270.0,,,trustee_office_fee|broker_purchase_commission
6298,749000.0,OFFICIAL_VERIFIED,14980.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,15250.0,15250.0,,,trustee_office_fee|broker_purchase_commission
2766,1100000.0,OFFICIAL_VERIFIED,22000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,22270.0,22270.0,,,trustee_office_fee|broker_purchase_commission
6632,1850000.0,OFFICIAL_VERIFIED,37000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,37270.0,37270.0,,,trustee_office_fee|broker_purchase_commission
507,1200000.0,OFFICIAL_VERIFIED,24000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,24270.0,24270.0,,,trustee_office_fee|broker_purchase_commission
673,529000.0,OFFICIAL_VERIFIED,10580.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,10850.0,10850.0,,,trustee_office_fee|broker_purchase_commission
1597,797000.0,OFFICIAL_VERIFIED,15940.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,16210.0,16210.0,,,trustee_office_fee|broker_purchase_commission
6649,1288890.0,OFFICIAL_VERIFIED,25777.8,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,26047.8,26047.8,,,trustee_office_fee|broker_purchase_commission
4694,2550000.0,OFFICIAL_VERIFIED,51000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,51270.0,51270.0,,,trustee_office_fee|broker_purchase_commission
4204,1200000.0,OFFICIAL_VERIFIED,24000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,24270.0,24270.0,,,trustee_office_fee|broker_purchase_commission
8320,2200000.0,OFFICIAL_VERIFIED,44000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,44270.0,44270.0,,,trustee_office_fee|broker_purchase_commission
5092,613773.0,OFFICIAL_VERIFIED,12275.46,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,12545.46,12545.46,,,trustee_office_fee|broker_purchase_commission
7608,1070000.0,OFFICIAL_VERIFIED,21400.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,21670.0,21670.0,,,trustee_office_fee|broker_purchase_commission
3375,1900000.0,OFFICIAL_VERIFIED,38000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,38270.0,38270.0,,,trustee_office_fee|broker_purchase_commission
6350,1500000.0,OFFICIAL_VERIFIED,30000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,30270.0,30270.0,,,trustee_office_fee|broker_purchase_commission
2276,2200000.0,OFFICIAL_VERIFIED,44000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,44270.0,44270.0,,,trustee_office_fee|broker_purchase_commission
6209,1000000.0,OFFICIAL_VERIFIED,20000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,20270.0,20270.0,,,trustee_office_fee|broker_purchase_commission
5073,700000.0,OFFICIAL_VERIFIED,14000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,14270.0,14270.0,,,trustee_office_fee|broker_purchase_commission
6695,720000.0,OFFICIAL_VERIFIED,14400.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,14670.0,14670.0,,,trustee_office_fee|broker_purchase_commission
2460,1700000.0,OFFICIAL_VERIFIED,34000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,34270.0,34270.0,,,trustee_office_fee|broker_purchase_commission
7792,660000.0,OFFICIAL_VERIFIED,13200.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,13470.0,13470.0,,,trustee_office_fee|broker_purchase_commission
7663,1922960.0,OFFICIAL_VERIFIED,38459.2,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,38729.2,38729.2,,,trustee_office_fee|broker_purchase_commission
2725,90000.0,OFFICIAL_VERIFIED,1800.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,2070.0,2070.0,,,trustee_office_fee|broker_purchase_commission
6540,1900000.0,OFFICIAL_VERIFIED,38000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,38270.0,38270.0,,,trustee_office_fee|broker_purchase_commission
